F_1,F_3,F_4,F_5,F_6,F_53,F_65,F_260,days_with_service
565.0,102.0,116.0,104.0,0.0,7.0,6.0,601.0,516.0
657.0,101.0,0.0,0.0,0.0,13.0,0.0,676.0,944.0
631.0,104.0,506.0,0.0,0.0,5.0,0.0,707.0,92.0
674.0,101.0,0.0,0.0,0.0,13.0,0.0,691.0,761.0
570.0,102.0,203.0,112.0,116.0,5.0,12.0,567.0,365.0
546.0,102.0,116.0,115.0,104.0,2.0,3.0,643.0,1977.0
695.0,0.0,0.0,0.0,0.0,8.0,0.0,723.0,577.0
527.0,102.0,203.0,115.0,116.0,3.0,5.0,680.0,1005.0
678.0,114.0,0.0,0.0,0.0,15.0,0.0,690.0,184.0
605.0,116.0,112.0,302.0,0.0,18.0,0.0,649.0,761.0
691.0,0.0,0.0,0.0,0.0,5.0,0.0,705.0,1006.0
677.0,506.0,0.0,0.0,0.0,7.0,0.0,715.0,731.0
609.0,116.0,112.0,104.0,302.0,27.0,0.0,587.0,61.0
553.0,102.0,116.0,101.0,112.0,6.0,3.0,624.0,457.0
565.0,112.0,101.0,302.0,506.0,10.0,0.0,598.0,761.0
565.0,116.0,104.0,302.0,506.0,8.0,0.0,648.0,90.0
569.0,102.0,116.0,104.0,302.0,5.0,7.0,605.0,122.0
643.0,104.0,0.0,0.0,0.0,10.0,0.0,699.0,850.0
627.0,112.0,116.0,104.0,0.0,12.0,0.0,622.0,426.0
601.0,102.0,0.0,0.0,0.0,3.0,2.0,663.0,579.0
659.0,112.0,101.0,0.0,0.0,17.0,0.0,610.0,609.0
659.0,112.0,101.0,0.0,0.0,17.0,0.0,610.0,212.0
537.0,116.0,112.0,104.0,114.0,8.0,0.0,620.0,396.0
681.0,0.0,0.0,0.0,0.0,4.0,0.0,708.0,61.0
682.0,116.0,0.0,0.0,0.0,12.0,0.0,682.0,242.0
495.0,102.0,203.0,116.0,115.0,5.0,5.0,591.0,427.0
631.0,112.0,101.0,114.0,302.0,12.0,0.0,633.0,610.0
670.0,104.0,506.0,0.0,0.0,8.0,0.0,745.0,395.0
559.0,102.0,112.0,104.0,0.0,3.0,3.0,657.0,760.0
647.0,103.0,104.0,506.0,0.0,8.0,0.0,650.0,334.0
656.0,112.0,506.0,0.0,0.0,8.0,0.0,708.0,731.0
584.0,116.0,112.0,302.0,506.0,13.0,0.0,667.0,731.0
701.0,0.0,0.0,0.0,0.0,13.0,0.0,705.0,517.0
677.0,0.0,0.0,0.0,0.0,12.0,0.0,676.0,1461.0
651.0,104.0,302.0,0.0,0.0,5.0,0.0,621.0,365.0
608.0,115.0,104.0,506.0,0.0,3.0,0.0,751.0,577.0
