"UID","SCORE","CLASS"
"440ba427-f46a-41d7-bf6d-5b5b1eb3cc26","524.0",STANDARD
"8d5f1532-453d-4cce-9ae6-23a06affa479","601.0",STANDARD
"59ade0ad-460f-49d6-9b3d-359610bee8dd","507.0",STANDARD
"73252b25-3564-4b73-a27e-a08c2a5e882b","519.0",PREMIUM
c85f7e49-61da-42d1-bcf9-ae68c3af7ac8,"567.0",PREMIUM
bd6ec7e6-7eae-4a38-b7f5-143218db4723,"583.0",PREMIUM
"2ed6bbc9-980a-4686-a585-aef5e2655ac2","586.0",PREMIUM
b923a687-d607-4466-8fff-8797e67e54d8,"657.0",STANDARD
"1e6b3e39-bf80-4eb5-8685-1d9be5d14a7a","509.0",STANDARD
b3b826f3-66be-4072-8f03-c04dcbb0b2d4,"566.0",PREMIUM
abc979cb-e1be-4e81-8126-9d850dd05cf4,"579.0",STANDARD
"7572f172-5558-4b49-a35d-799be786223e","588.0",STANDARD
"0ff73a62-4c1a-40b4-8c8f-c05aea00b63d","551.0",STANDARD
"7184e227-7c2a-4d00-b688-bcad88725d27","497.0",STANDARD
"51df35d1-aef0-4b43-ae20-d08785918976","657.0",PREMIUM
"0c8d36a8-5a69-4428-b5ce-57dc5604a331","627.0",STANDARD
a691081f-70e2-4947-9833-e5fccad9caf6,"591.0",STANDARD
"5fe8fbee-d405-4c8f-9b2d-e8ccb02a2457","651.0",PREMIUM
"971d060b-d7f6-4245-b48e-a762406ae161","645.0",STANDARD
"11acda55-0d66-4117-bf61-324826d86f65","656.0",STANDARD
e51062a3-d135-43c0-a39f-58f2fb9875d7,"495.0",PREMIUM
d005c8de-042d-4df9-b590-d2cc6c8826c4,"658.0",STANDARD
"28a064dd-1203-462e-8a7a-987bd1c1278c","536.0",STANDARD
ceb882d0-120b-4ee4-a5f3-b0417ffa3323,"569.0",PREMIUM
c70f7479-dbe2-4be2-9773-69465c0087b2,"708.0",PREMIUM
"7266b805-a5f1-4aef-8851-959ef4936cdd","627.0",STANDARD
"880fdee5-b2de-4ac0-9b24-97cb3ea35dca","644.0",STANDARD
"31850bf0-f812-46d5-a95c-e4ef1433089b","572.0",STANDARD
f20d6394-f690-4b2d-ac70-3008fb53065e,"688.0",STANDARD
"70b0b2d4-61d3-450f-b16c-2117fb2144da","542.0",PREMIUM
"628e594c-3fd8-49fc-97e7-c563846f35cd","541.0",STANDARD
"057a78ad-dc77-49a0-ab2c-f13665150789","551.0",STANDARD
"4ccb29fc-cc06-44a6-8f2f-581fddccc893","655.0",STANDARD
d3b33887-1333-4966-bd15-5369ca38eb37,"563.0",STANDARD
"3343330b-57ae-4e58-9218-6fe07e43ed41","577.0",PREMIUM
"6a8a0d5d-3c57-4d9b-8973-fbba3c9db423","627.0",STANDARD
"44df02f9-7e75-4ff5-b667-ae489baccd76","530.0",PREMIUM
d0624b7e-6bc3-4c9e-bddd-844520657f40,"534.0",PREMIUM
"4dc8214a-b435-4abc-8167-8b628de06006","576.0",PREMIUM
"87d3ea94-11bb-4c2e-bdcf-d8458577b93e","511.0",STANDARD
d8f90f9c-23e0-44df-80ee-8211b8072b7b,"548.0",PREMIUM
"2747243d-1c51-4236-87e2-5b083549e592","652.0",STANDARD
"2b99aa36-9047-4284-869c-aadae7a70c04","591.0",PREMIUM
a8040cb4-b451-4b66-b388-78ab415b4fb7,"537.0",STANDARD
"5207183d-c48f-4386-b96d-9c4f5357bec3","647.0",PREMIUM
"3595bfb6-0bce-4305-b754-e0c51192fdc9","508.0",STANDARD
"29ef7c08-843e-430a-97cf-d6c1c1a0387a","657.0",STANDARD
b50e8aa0-d7c1-492f-beed-f45c1251d36a,"663.0",PREMIUM
"612c600a-d270-4f55-a430-a6fe308c5a81","615.0",PREMIUM
"91878dd1-d177-4af2-a98c-a412a3a72105","669.0",STANDARD
"61800c7d-3334-45eb-82e5-48bdd87a0ce2","723.0",STANDARD
"6022258b-c544-4828-bd38-841df435c599","621.0",PREMIUM
d53b9741-4a7a-439d-8633-8f6fababf6e7,"647.0",STANDARD
"83c56482-a5e3-4e50-b9f0-d9be997612f1","552.0",PREMIUM
"9183a9d5-375e-4bd9-a309-2aa19dc97567","586.0",PREMIUM
e4b9a57b-8df5-4df4-950e-11617c81a1c9,"526.0",STANDARD
"3848e8a9-35fb-45b2-a515-9205900dddc3","539.0",PREMIUM
"4ec4caa1-6e55-4fc3-a417-41f6a67a6da7","520.0",PREMIUM
cd04732e-2c8d-4883-bf61-145e72dbdd5c,"699.0",STANDARD
d9f2bf46-62af-499d-9087-367a7dd1d2c6,"567.0",PREMIUM
"09c117af-3355-4e3b-8145-98193fad682b","647.0",PREMIUM
"7980b83e-2bc9-44b2-af0b-84fa04bf02ba","546.0",STANDARD
e286d411-7d31-445a-8c97-82a890f13e8d,"616.0",PREMIUM
be2a8927-fbdc-428c-b1e8-7fc03ab30c67,"538.0",PREMIUM
"8d5dfbe7-dfcd-43bf-8ed1-a04af09ddebf","503.0",STANDARD
e26ca7f5-15fd-402c-a156-5bfe43b4c424,"521.0",STANDARD
a3eeef46-04f2-430a-9432-813e6d8ff62b,"592.0",STANDARD
"45eae6b4-3bba-4997-a3eb-55b7adb48a45","610.0",STANDARD
a510b3d5-0cec-4304-9b30-d1aca37aee5c,"533.0",STANDARD
d7f769be-cadf-4ce6-9ae1-018bee380f1a,"604.0",STANDARD
"21c2f27c-9c5f-42a8-b790-d59660976eab","590.0",STANDARD
a9c56f5a-766b-4d02-9ef4-9eb8f0057053,"484.0",STANDARD
"7b7e1e39-e8a1-4765-b495-a55c3bbf7c0e","665.0",STANDARD
"7a6e58c2-c643-4041-b306-15aa6084a575","691.0",STANDARD
d0a234da-2ffc-4618-9339-e449679013a1,"564.0",STANDARD
"5feff424-866f-486b-8569-8626ab030b9b","647.0",PREMIUM
df6a2e5b-783a-40b1-b653-98a756372eb5,"543.0",PREMIUM
"77cdc315-3f36-4baa-a049-e444aac256e4","657.0",PREMIUM
"6fb95a61-22fc-400e-8245-7ec3c2a5a04e","682.0",PREMIUM
c3b04e3b-c712-4891-ad7a-d10e49d01dac,"670.0",STANDARD
"0ee50d90-97ae-47fc-87db-5265b4383ee5","677.0",STANDARD
"55a1216e-e488-4899-851b-45726d931f37","557.0",STANDARD
"22afa205-5ebe-44a0-97dc-0a4199b23fe7","607.0",STANDARD
"05fece2d-d747-46d1-b2ac-3659629fd7a2","535.0",PREMIUM
ee84dfe4-24f9-4adc-90aa-5b0d3f0b6e92,"566.0",STANDARD
a1e5e97d-8036-437d-9a8d-c681686830a3,"524.0",PREMIUM
